"DisplayName","AverageScore"
poller,0
mvuinc,0
user353889,6
eppesuig,3
user402057,3
Alphaomega16,0
Cirdec,0
Paulo Lellis,0
moonstruck,7
Paras Gandhi,3
aivaldi,0
Jack Sparrow,2
Robert Matthews,1
Jesuskiewicz,0
Rob Osborne,8
Mark Menard,1
Miky,1
user238852,1
ideafactory,1
Alfkil Wennermark,6
Mike Branski,1
Todd Li,2
bdorry,3
Pedro Lopes,1
interjay,9
sonomax,1
HitLikeAHammer,2
jinzo,1
Sebastian Dietz,7
MarmouCorp,6
Colin Ramsay,4
Tom Evans,3
Scott Markwell,2
Tarski,4
Avdi,27
KevB,6
aesdanae,0
gmoorevt,1
sabasi,-1
superjer,9
Peter Kassenaar,3
Rami Shareef,1
TRAD,0
rockefeller,1
Jerrey,4
lushnis,0
Emre Hasegeli,4
John R.B. Palmer,85
Florian Sandro Völkl,12
Rockstart,0
Ray Linder,3
Thorinair,7
MikesTooLz,0
user279143,2
Steven G.,2
Huslayer,3
Vasioky,0
kelly johnson,0
astorcas,0
Ákos,12
jkarmick,4
ArgenDeveloper,2
mat3001,2
JimBobBillyBoy,10
user270203,6
phshah,5
aspitzer,0
Haripraghash,2
JakeTheSnake,0
Search Classroom,0
Skawful,11
ng.,6
frankadelic,10
Chang Chung,3
pts,17
Vitaly P,8
user142450,2
Bart Schuller,14
dfjacobs,5
ctacke,2
Gordon Bell,5
mathstuf,2
Alexander Cohen,8
user437865,0
Daniel Mendel,2
Stefan Pühringer,4
tnt1,2
Geordie Korper,4
metal_man,1
Desert ed,4
markE,0
S.Richmond,3
Handloomweaver,21
mcaleaa,0
mihaild,0
JR_vv2,3
Kelly Sutton,4
T. Ernst,1
Mage,4
David Kanenwisher,3
ozruiz,0
ThoughtCrhyme,4
Ponny,30
Not Available,3
xdxavier,2
Athens Holloway,1
Raghaw,0
chenosaurus,35
Peter Kolbus,-1
jest,2
Steven Craft,29
cdamian,4
Xenph Yan,206
Someone,7
JoshRoss,0
has,3
Ed Power,1
Marc Deldem,2
Marcin M.,1
TechnoWings Inc- Rajesh,1
Nick Lee,0
GhostSpace,0
vinidog,1
Kupido,0
LoneWolfPR,5
user475262,0
rvandervort,3
pnichols,3
mjacobs,0
kelly.dunn,7
realvedgie,3
Kiran Mohan,2
ulia,3
K.Kong,1
skochan,9
some-one,4
Le Hibou,1
tazphoenix,1
RhinoDevX64,2
ITGuru,0
Janus,3
BrandonAGr,12
ljubak,4
Erin Drummond,14
Craig H,18
spate,3
phloopy,3
Chris Cudmore,15
user28577,2
Florian Jenn,23
Rajeev Nair,0
KThornbloom,0
Fotinopoulos Giorgos,1
user453470,0
Tennessee Bee,0
Steve Owen,3
user371968,0
Philipe,1
Nandish,0
Jon Dukes-Schlossberg,0
Lin Jin,4
user397943,0
David Kerins,58
Kevin Streit,7
beno1604,2
santoshi,2
barroco,4
user363543,2
git,8
Larsbj,4
user238098,0
saheer,1
reefa,2
user240896,3
bwinton,13
Jacob Krall,24
user33230,0
x4000,10
wilsoniya,7
rjsteward,4
IamSimon,7
Tarak,1
Karew,3
user549325,0
theateist,0
Valentin Stoychev,0
RJ Miller,1
Alegro,0
Sally Hammel,0
Nuno Sénica,1
HarKal,2
stub,6
Bangdel,6
Tosha,1
Patrick McCann,1
The Muffin Man,2
user449091,0
Kevin Florida,40
VVP,3
Marius Jeskulke,2
takeshi,2
Suranga Bandara,1
user385485,0
b_erb,10
steven219,0
Amzath,1
ROYchirp,1
mahdia,1
Adam C.,5
randy melder,2
John Petterson,47
Marcello Belguardi,2
Armaz Mellati,3
Laex,1
ARIS Community,0
Sherif,5
Josh Christie,2
V_H,1
tjazz,1
UB.,6
Semyon.Khmelev,0
Christopher Scott,4
Fredrik Kalseth,34
netsuo,2
method,3
Sai,6
Lyall,1
Patrick Grantham,0
lbadura,0
Greg Dean,17
Moissane,0
Maxim Schoemaker,1
Irfan Ashraf,1
Rhoxus,1
Tom Teman,1
cmant,0
jrpereirajr,1
macomber,7
jhoefnagels,0
Kikaimaru,4
Valentin Radu,0
swudev,1
Jemma Diampuan,0
Michael Ruepp,1
Pajci,0
user324681,0
Mikko Rantalainen,6
carpie,2
Aristide,7
destructo_gold,1
Jason Swett,2
Jennifer Weinberg,4
Bift,0
robinJ,0
Skoog,5
Nasa,0
R4cOON,2
WorkingWeb,4
wagi,2
mekentosj,3
D2VIANT,2
Markus Schnell,4
mal99,14
Glader,8
Serious,2
Ahmed Magdy,6
double07,0
dhargan,1
firemonkey,0
Rotesmofa,0
toriningen,2
LokiDil,0
user374121,2
user386436,0
Dopps,1
Pablo Cantero,1
include,10
marcovicc,1
David A Moss,1
diengsallah,0
Roman Nikitin,28
greenyadzer,5
Pavanadroid,5
Ujwol Shrestha,3
m000,27
T.J. VanSlyke,62
iivel,1
sukhada garud ,1
zuo,1
Michael Kurtz,0
George Birbilis,0
user224813,10
Nyx0uf,3
Vincenzo,3
dhjolesch,3
Artur79,3
jayk,4
dsander,4
agileotter,3
w00t,4
Sameera,2
Sam Russo,2
Fred Yang,3
DarkAmgine,4
Doc Falken,6
A New Chicken,4
huahsin68,13
Ikarii Warrior,3
matt b,7
questzen,1
Alaric,8
Ady,15
Greg Bernhardt,207
R.Chatsiri,0
Sebastian Schuon,4
dotnetN00b,1
user135231,0
Jason Voegele,6
Zach Hirsch,25
Carlos Barbosa,5
Sidmitra,6
Chip Kaye,6
joinJpegs,8
Devon_C_Miller,2
Hermooz,0
alexpopescu,27
JMcDaniel,7
rfusca,4
Dokie,1
iLemming,3
Jim DeLaHunt,4
narayanaswamy,0
Kiran Dhamale,1
brucko,3
Bright Chen,9
Guy Gordon,3
Steven Elliott,8
Dave Collins,0
Zhen Wang,1
Nick Polet,1
Joel Kline,1
st33d,2
kadian,-1
MoreCoffee,2
drreed,0
Bob Setterbo,0
phmarco,2
jorgepc,2
user460673,0
shuss,4
Bipin,10
Heyl1,7
user400025,0
Belmont,1
Zaradaqaw,0
OndrejP_SK,1
user274206,0
Andrew Connell,1
Gizmo78,0
Cera Stone,2
joneath,8
gerhard presser,0
tryit,-2
Pauo,11
Paul Accisano,5
sarathsaleem,1
Lyjen,0
PRR,2
Keyo,4
Ben Sharpe,1
Michael Hackner,3
Guillaume Poirier,1
shreya,0
Templar,10
Bobby,2
Wulfbane,3
cometta,6
text,0
Joel Schlundt,1
Mansoor Siddiqui,53
Alex Zuzin,16
LiMuBei,2
Matthew Russell,1
Suvabrata Roy,2
dirtycode,0
Brad Daily,17
CaseyS,0
Prakash Naykodi,0
John Kofod,0
thebrotherofasis,1
J dos Santos,1
Tamara Warner,1
ShareOnPoint,1
dacap,9
captain poop,9
Codo,5
Shyama,1
nickel101,0
SuperCop,91
do_the_math,7
PRK,47
dfarney,1
eugenn,5
Sharief,5
Carlos Dubus,6
user289082,0
Sankha,0
jkilgrow,5
fengb,11
infinity,3
Dyer,3
Djip,0
Ninh Bui,4
JackPoint,1
Arpit Tambi,3
Samra,0
Kain,3
stranger,2
Snoopy,3
vknlksr,1
Dave Johnson,1
Fuzzy76,4
villares,2
Vitor Pereira,3
Nicholas Piasecki,13
Sophie Gage,29
user486774,2
JasperWallace,0
Gos,1
user534785,135
coolrock,0
Bill Stone,2
pst,1
SkyLined,0
Julian Coates,109
mlev,9
md. ariful ahsan,3
mory,0
liysd,8
void_ptr,3
Michał Kowalczyk,6
alcy,0
monotasker,1
code master,2
Junaid,1
Edward Ashak,8
kmalmur,5
Robber,0
João Saleiro,2
rdzah,16
navruzm,1
Rites,2
WesleyJohnson,0
GarrettG.,0
xia,0
Proteux,0
Andras Zoltan,6
Jason McCreary,3
user154489,36
Randy Fay,6
Emirikol,3
Mikhail Nasyrov,1
user72012,1
Daniel P. Bullington,2
rennat,7
PushCode,19
Vishesh Handa,1
rajakvk,16
tbreffni,6
bovium,28
Michael Petrotta,7
E..,0
Nils-Petter Nilsen,3
teevus,2
Drunk On Java,1
AdamY,1
itskiran,-1
Default,3
Crickey ,5
Kilgore2k,4
Cowboy,3
Q7898339,0
user359531,5
bridog,1
Alexander Finn,5
zyflix,0
msawtatn,1
p7r,2
BrMcMullin,10
andreyv,1
SpaceBison,0
vrillusions,3
user189964,3
nero,17
Flash Gordon,4
Josh Curren,6
Edward Ross,54
pgruetter,5
user123187,2
Mads Andersen,6
fpmurphy1,3
Andrew Hare,10
pg.,2
Ben Zotto,6
george haff,3
G-Rajendra,0
arantius,10
Lance Fisher,35
ChrisThomas123,24
Darrel,7
Peter Howe,3
Finley Lee,13
Sparky,5
user490423,8
grambion35,0
yohannan_sobin,0
William Vasconcelos,0
Viuo,6
Al1998,2
June,1
Leon Adeoye,1
Julien CROUZET,5
pmt0512,1
Thunderke,-1
Tirth,3
Halst,3
